iter	Passed	Remaining
455	943	1125
456	944	1121
457	945	1118
458	946	1115
459	947	1112
460	948	1109
461	949	1106
462	951	1103
463	952	1100
464	953	1096
465	954	1094
466	956	1091
467	957	1088
468	958	1085
469	960	1082
470	961	1079
471	962	1076
472	963	1073
473	964	1070
474	965	1067
475	966	1064
476	967	1061
477	969	1058
478	970	1055
479	971	1052
480	973	1049
481	974	1047
482	975	1044
483	976	1041
484	977	1038
485	979	1035
486	980	1032
487	981	1029
488	983	1027
489	984	1024
490	985	1022
491	987	1019
492	988	1016
493	989	1013
494	990	1011
495	992	1008
496	993	1005
497	994	1002
498	995	999
499	997	997
500	998	994
501	999	991
502	1000	988
503	1002	986
504	1003	983
505	1004	980
506	1005	977
507	1007	975
508	1008	972
509	1009	970
510	1011	967
511	1012	965
512	1014	962
513	1015	959
514	1016	957
515	1017	954
516	1018	951
517	1020	949
518	1021	946
519	1022	944
520	1023	941
521	1025	938
522	1026	936
523	1027	933
524	1029	931
525	1030	928
526	1031	925
527	1032	923
528	1033	920
529	1035	917
530	1036	915
531	1037	912
532	1038	910
533	1040	907
534	1041	905
535	1042	902
536	1044	900
537	1045	897
538	1046	894
539	1047	892
540	1048	889
541	1049	887
542	1051	884
543	1052	882
544	1054	880
545	1055	877
546	1056	875
547	1058	872
548	1059	870
549	1060	867
550	1061	865
551	1062	862
552	1064	860
553	1065	857
554	1066	854
555	1067	852
556	1068	850
557	1070	847
558	1071	845
559	1072	842
560	1073	839
561	1074	837
562	1075	834
563	1076	832
564	1077	829
565	1078	827
566	1079	824
567	1080	821
568	1081	819
569	1083	817
570	1084	814
571	1085	812
572	1087	810
573	1088	807
574	1089	805
575	1090	802
576	1091	800
577	1092	797
578	1093	795
579	1094	792
580	1095	790
581	1097	788
582	1098	785
583	1100	783
584	1101	781
585	1102	778
586	1103	776
587	1104	773
588	1105	771
589	1106	768
590	1107	766
591	1108	764
592	1109	761
593	1111	759
594	1112	757
595	1113	755
596	1115	752
597	1116	750
598	1117	748
599	1118	745
600	1119	743
601	1120	740
602	1121	738
603	1122	736
604	1123	733
605	1124	731
606	1126	729
607	1127	726
608	1128	724
609	1130	722
610	1131	720
611	1132	717
612	1133	715
613	1134	713
614	1135	710
615	1136	708
616	1137	706
617	1138	703
618	1140	701
619	1141	699
620	1142	697
621	1143	695
622	1145	692
623	1146	690
624	1147	688
625	1148	686
626	1149	683
627	1150	681
628	1151	679
629	1152	676
630	1153	674
631	1154	672
632	1156	670
633	1157	668
634	1158	665
635	1159	663
636	1160	661
637	1161	659
638	1162	656
639	1163	654
640	1164	652
641	1166	650
642	1167	648
643	1168	645
644	1169	643
645	1170	641
646	1172	639
647	1173	637
648	1174	635
649	1175	632
650	1176	630
651	1177	628
652	1178	626
653	1179	624
654	1180	621
655	1182	620
656	1183	618
657	1184	615
658	1185	613
659	1186	611
660	1188	609
661	1189	607
662	1190	604
663	1191	602
664	1192	600
665	1193	598
666	1194	596
667	1195	594
668	1198	592
669	1200	591
670	1201	589
671	1203	587
672	1205	585
673	1206	583
674	1207	581
675	1208	579
676	1209	577
677	1210	575
678	1212	573
679	1213	571
680	1214	569
681	1216	567
682	1217	565
683	1218	562
684	1219	560
685	1221	558
686	1222	556
687	1223	554
688	1224	552
689	1226	551
690	1227	548
691	1228	546
692	1229	544
693	1231	542
694	1232	540
695	1233	538
696	1235	536
697	1236	534
698	1237	532
699	1239	531
700	1240	529
701	1242	527
702	1243	525
703	1244	523
704	1245	521
705	1246	519
706	1248	517
707	1249	515
708	1250	513
709	1251	511
710	1253	509
711	1255	507
712	1256	505
713	1257	503
714	1258	501
715	1259	499
716	1261	497
717	1262	495
718	1263	493
719	1264	491
720	1266	489
721	1267	488
722	1268	486
723	1270	484
724	1271	482
725	1273	480
726	1274	478
727	1275	476
728	1277	474
729	1278	472
730	1279	470
731	1280	468
732	1282	467
733	1284	465
734	1285	463
735	1287	461
736	1288	459
737	1289	457
738	1291	456
739	1292	454
740	1293	452
741	1294	450
742	1296	448
743	1297	446
744	1299	444
745	1300	442
746	1301	440
747	1303	439
748	1304	437
749	1306	435
750	1307	433
751	1309	431
752	1311	430
753	1314	428
754	1315	426
755	1317	425
756	1319	423
757	1321	421
758	1322	419
759	1326	418
760	1328	417
761	1330	415
762	1331	413
763	1333	411
764	1334	409
765	1335	408
766	1337	406
767	1338	404
768	1340	402
769	1342	400
770	1343	399
771	1345	397
772	1346	395
773	1347	393
774	1349	391
775	1350	389
776	1352	388
777	1354	386
778	1357	385
779	1359	383
780	1360	381
781	1362	379
782	1363	377
783	1365	376
784	1366	374
785	1368	372
786	1370	370
787	1372	369
788	1373	367
789	1374	365
790	1376	363
791	1377	361
792	1379	360
793	1381	358
794	1382	356
795	1384	354
796	1386	353
797	1388	351
798	1389	349
799	1391	347
800	1392	346
801	1393	344
802	1395	342
803	1396	340
804	1398	338
805	1399	336
806	1401	335
807	1402	333
808	1403	331
809	1405	329
810	1406	327
811	1407	325
812	1409	324
813	1410	322
814	1412	320
815	1414	318
816	1415	317
817	1416	315
818	1418	313
819	1419	311
820	1420	309
821	1422	307
822	1424	306
823	1426	304
824	1427	302
825	1429	301
826	1431	299
827	1433	297
828	1436	296
829	1437	294
830	1439	292
831	1441	290
832	1442	289
833	1444	287
834	1445	285
835	1447	283
836	1448	282
837	1450	280
838	1452	278
839	1454	276
840	1455	275
841	1458	273
842	1459	271
843	1461	270
844	1462	268
845	1464	266
846	1465	264
847	1467	262
848	1469	261
849	1471	259
850	1472	257
851	1474	256
852	1475	254
853	1477	252
854	1478	250
855	1479	248
856	1481	247
857	1482	245
858	1484	243
859	1486	241
860	1487	240
861	1489	238
862	1491	236
863	1492	234
864	1493	233
865	1495	231
866	1496	229
867	1500	228
868	1503	226
869	1504	224
870	1506	223
871	1507	221
872	1509	219
873	1513	218
874	1514	216
875	1516	214
876	1518	212
877	1520	211
878	1521	209
879	1523	207
880	1524	205
881	1526	204
882	1528	202
883	1529	200
884	1533	199
885	1534	197
886	1536	195
887	1538	193
888	1539	192
889	1541	190
890	1543	188
891	1544	186
892	1545	185
893	1547	183
894	1548	181
895	1549	179
896	1550	178
897	1552	176
898	1553	174
899	1554	172
900	1556	170
901	1557	169
902	1558	167
903	1560	165
904	1561	163
905	1562	162
906	1564	160
907	1565	158
908	1566	156
909	1567	155
910	1569	153
911	1570	151
912	1571	149
913	1573	148
914	1574	146
915	1575	144
916	1576	142
917	1577	140
918	1578	139
919	1579	137
920	1580	135
921	1582	133
922	1586	132
923	1588	130
924	1589	128
925	1590	127
926	1592	125
927	1593	123
928	1594	121
929	1596	120
930	1598	118
931	1600	116
932	1601	115
933	1602	113
934	1604	111
935	1605	109
936	1606	107
937	1607	106
938	1608	104
939	1609	102
940	1610	100
941	1612	99
942	1613	97
943	1614	95
944	1616	94
945	1617	92
946	1618	90
947	1619	88
948	1620	87
949	1621	85
950	1622	83
951	1623	81
952	1624	80
953	1626	78
954	1627	76
955	1628	74
956	1629	73
957	1630	71
958	1632	69
959	1633	68
960	1634	66
961	1635	64
962	1636	62
963	1637	61
964	1638	59
965	1640	57
966	1641	56
967	1642	54
968	1644	52
969	1645	50
970	1646	49
971	1647	47
972	1648	45
973	1649	44
974	1650	42
975	1651	40
976	1652	38
977	1654	37
978	1655	35
979	1657	33
980	1658	32
981	1659	30
982	1660	28
983	1661	27
984	1662	25
985	1663	23
986	1665	21
987	1666	20
988	1667	18
989	1669	16
990	1670	15
991	1671	13
992	1672	11
993	1674	10
994	1675	8
995	1676	6
996	1677	5
997	1679	3
998	1680	1
999	1681	0
